review_id,text,source,item,true_sentiment,review_date,clean_text,vader_compound,textblob_polarity,textblob_subjectivity,ensemble_score,predicted_sentiment,joy,anger,sadness,fear,trust,surprise,dominant_emotion,total_emotion_words
REV100000,I hate how unreliable this wireless headphones turned out to be.,Product Forum,wireless headphones,negative,2024-01-24,I hate how unreliable this wireless headphones turned out to be.,-0.5719,-0.8,0.9,-0.6631,negative,0,1,0,0,0,0,anger,1
REV100001,What a wonderful bluetooth speaker! Great value for the price.,Facebook Comment,bluetooth speaker,positive,2024-04-01,What a wonderful bluetooth speaker! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100002,"The delivery service meets the basic requirements, nothing more.",Amazon Review,delivery service,neutral,2024-08-01,"The delivery service meets the basic requirements, nothing more.",0.0,0.25,0.3125,0.1,positive,0,0,0,0,0,0,none,0
REV100003,"I'm so happy with the electric toothbrush, works perfectly and looks great.",Amazon Review,electric toothbrush,positive,2024-03-21,"I'm so happy with the electric toothbrush, works perfectly and looks great.",0.923,0.8667,0.9167,0.9005,positive,2,0,0,0,0,0,joy,2
REV100004,"Very frustrated with the customer support experience, it never worked as advertised.",Amazon Review,customer support experience,negative,2024-02-29,"Very frustrated with the customer support experience, it never worked as advertised.",-0.2484,-0.91,0.26,-0.513,negative,0,1,0,0,0,0,anger,1
REV100005,This fitness tracker is poorly made and feels cheap.,Facebook Comment,fitness tracker,negative,2024-04-30,This fitness tracker is poorly made and feels cheap.,0.2732,0.0,0.65,0.1639,positive,0,0,0,0,0,0,none,0
REV100006,The mobile app stopped working and support was unhelpful. :(,Amazon Review,mobile app,negative,2024-12-10,The mobile app stopped working and support was unhelpful. :(,-0.2732,-0.75,1.0,-0.4639,negative,0,0,0,0,0,0,none,0
REV100007,"Excellent software update, exactly as described and super reliable. Love it!",Twitter/X Post,software update,positive,2024-12-16,"Excellent software update, exactly as described and super reliable. Love it!",0.92,0.5521,0.6292,0.7728,positive,2,0,0,0,1,0,joy,3
REV100008,Great delivery service! My whole family loves it.,Twitter/X Post,delivery service,positive,2024-08-22,Great delivery service! My whole family loves it.,0.8439,0.6,0.575,0.7463,positive,1,0,0,0,0,0,joy,1
REV100009,"I'm so happy with the streaming service, works perfectly and looks great.",Product Forum,streaming service,positive,2024-05-23,"I'm so happy with the streaming service, works perfectly and looks great.",0.923,0.8667,0.9167,0.9005,positive,2,0,0,0,0,0,joy,2
