review_id,text,source,item,true_sentiment,review_date
REV100000,I hate how unreliable this wireless headphones turned out to be.,Product Forum,wireless headphones,negative,2024-01-24
REV100001,What a wonderful bluetooth speaker! Great value for the price.,Facebook Comment,bluetooth speaker,positive,2024-04-01
REV100002,"The delivery service meets the basic requirements, nothing more.",Amazon Review,delivery service,neutral,2024-08-01
REV100003,"I'm so happy with the electric toothbrush, works perfectly and looks great.",Amazon Review,electric toothbrush,positive,2024-03-21
REV100004,"Very frustrated with the customer support experience, it never worked as advertised.",Amazon Review,customer support experience,negative,2024-02-29
REV100005,This fitness tracker is poorly made and feels cheap.,Facebook Comment,fitness tracker,negative,2024-04-30
REV100006,The mobile app stopped working and support was unhelpful. :(,Amazon Review,mobile app,negative,2024-12-10
REV100007,"Excellent software update, exactly as described and super reliable. Love it!",Twitter/X Post,software update,positive,2024-12-16
REV100008,Great delivery service! My whole family loves it.,Twitter/X Post,delivery service,positive,2024-08-22
REV100009,"I'm so happy with the streaming service, works perfectly and looks great.",Product Forum,streaming service,positive,2024-05-23
REV100010,"Worst wireless headphones I have ever bought, total regret.!!",Facebook Comment,wireless headphones,negative,2024-01-24
REV100011,Comparing the water bottle to similar products on the market now.,Facebook Comment,water bottle,neutral,2024-09-14
REV100012,"Disappointing laptop stand, definitely returning it. :(",Product Forum,laptop stand,negative,2024-03-16
REV100013,Comparing the backpack to similar products on the market now.,Facebook Comment,backpack,neutral,2024-11-14
REV100014,"I'm so disappointed with this mobile app, complete waste of money. Never again.",Product Forum,mobile app,negative,2024-11-28
REV100015,"Very frustrated with the smartphone case, it never worked as advertised. :(",Amazon Review,smartphone case,negative,2024-08-24
REV100016,"The electric toothbrush does what it's supposed to do, nothing special.",Twitter/X Post,electric toothbrush,neutral,2024-06-17
REV100017,"This restaurant chain is a game changer, I use it every single day.",News Headline,restaurant chain,positive,2024-11-27
REV100018,The desk lamp arrived quickly and the build quality is amazing.,Product Forum,desk lamp,positive,2024-02-14
REV100019,"Terrible air purifier, broke after just two days of use.",Amazon Review,air purifier,negative,2024-02-06
REV100020,"The streaming service is okay, not great but not bad either.",Twitter/X Post,streaming service,neutral,2024-03-04
REV100021,"This subscription plan is a game changer, I use it every single day.",Amazon Review,subscription plan,positive,2024-08-25
REV100022,"The laptop stand is okay, not great but not bad either.",Facebook Comment,laptop stand,neutral,2024-06-26
REV100023,Considering whether to keep the airline or exchange it.,Twitter/X Post,airline,neutral,2024-02-20
REV100024,"Absolutely love this bluetooth speaker, it exceeded all my expectations!",Facebook Comment,bluetooth speaker,positive,2024-11-14
REV100025,What a wonderful bluetooth speaker! Great value for the price. Love it!,News Headline,bluetooth speaker,positive,2024-01-03
REV100026,"The water bottle does what it's supposed to do, nothing special.",Amazon Review,water bottle,neutral,2024-11-09
REV100027,The customer service team was super helpful with my yoga mat order.,Amazon Review,yoga mat,positive,2024-05-14
REV100028,"Just unboxed the delivery service, will update this review later.",Twitter/X Post,delivery service,neutral,2024-08-16
REV100029,"This backpack is a game changer, I use it every single day.",Product Forum,backpack,positive,2024-06-12
REV100030,"Absolutely love this air purifier, it exceeded all my expectations!",Product Forum,air purifier,positive,2024-09-18
REV100031,Great mobile app! My whole family loves it.,News Headline,mobile app,positive,2024-05-21
REV100032,"I'm so disappointed with this office chair, complete waste of money. Never again.",News Headline,office chair,negative,2024-03-04
REV100033,The yoga mat arrived on time and matches the description.,News Headline,yoga mat,neutral,2024-05-18
